artist;song;duration_ms;year;tempo;genre;energy;key;loudness
Rae Sremmurd;Swang;208120;2016;139.992;hip hop, pop;0.314;8;-9.319
Rita Ora;R.I.P. (feat. Tinie Tempah);228026;2012;72.022;hip hop, pop, Dance/Electronic;0.831;11;-3.443
Banx & Ranx;Answerphone (feat. Yxng Bane);190920;2018;113.021;Dance/Electronic;0.834;1;-3.928
Sheck Wes;Mo Bamba;183906;2018;146.034;hip hop;0.625;4;-5.266
The Chainsmokers;Paris;221506;2017;99.99;pop, Dance/Electronic;0.658;2;-6.428
Calvin Harris;Outside (feat. Ellie Goulding);227266;2014;128.035;hip hop, pop, Dance/Electronic;0.823;2;-4.123
Two Door Cinema Club;What You Know;189693;2010;139.048;World/Traditional, rock, pop;0.753;6;-4.003
Finger Eleven;Paralyzer;208106;2007;106.031;rock, metal;0.939;11;-3.486
Jamiroquai;Little L;295400;2001;121.906;pop;0.724;10;-5.373
Far East Movement;Like A G6;216893;2010;124.913;hip hop, pop;0.837;3;-8.126
Amerie;1 Thing;238746;2008;125.085;hip hop, pop, R&B;0.946;10;-4.683
Eve;Gangsta Lovin';239266;2002;94.332;hip hop, pop, R&B;0.84;1;-3.523
Fergie;Fergalicious;292373;2006;129.055;pop, R&B;0.584;8;-7.72
Scooter;The Logical Song;234116;2013;144.043;pop, Dance/Electronic;0.933;6;-6.277
Kesha;We R Who We R;204760;2010;119.95;pop, Dance/Electronic;0.817;8;-4.9
Ludacris;My Chick Bad;216933;2010;84.789;hip hop, pop;0.723;1;-6.782
Khia;My Neck, My Back (Lick It);222560;2015;102.072;pop, R&B;0.625;9;-4.234
Lil Wayne;6 Foot 7 Foot;248586;2011;79.119;hip hop, pop;0.752;2;-5.429
Ne-Yo;Mad;254533;2008;129.94;pop, R&B;0.644;0;-5.348
Olly Murs;Troublemaker (feat. Flo Rida);185586;2012;106.008;pop, Dance/Electronic;0.863;0;-3.689
Ellie Goulding;Burn;231211;2014;87.016;pop, rock, Dance/Electronic;0.777;1;-5.031
Ashlee Simpson;Pieces Of Me;217440;2004;174.001;pop;0.799;2;-4.286
Cheat Codes;No Promises (feat. Demi Lovato);223503;2017;112.956;pop, Dance/Electronic;0.667;10;-5.445
Dr. Dre;The Next Episode;161506;1999;95.295;hip hop;0.909;10;-2.429
Calvin Harris;One Kiss (with Dua Lipa);214846;2018;123.994;hip hop, pop, Dance/Electronic;0.862;9;-3.24
Labrinth;Earthquake (feat. Tinie Tempah);274600;2012;153.071;pop;0.856;0;-3.966
Ne-Yo;Let Me Love You (Until You Learn To Love Yourself);251626;2012;124.91;pop, R&B;0.677;5;-6.628
Kendrick Lamar;DNA.;185946;2017;139.928;hip hop;0.517;0;-6.759
Meek Mill;Going Bad (feat. Drake);180522;2018;86.003;hip hop, pop;0.496;4;-6.365
Madonna;Hung Up;337733;2005;125.02;pop;0.647;9;-7.695
Billie Eilish;lovely (with Khalid);200185;2018;115.284;pop, Dance/Electronic;0.296;4;-10.109
Coldplay;Viva La Vida;242373;2008;138.015;rock, pop;0.617;5;-7.115
Ariana Grande;Break Free;214840;2014;129.956;pop;0.702;7;-5.324
Lucenzo;Danza Kuduro (feat. Don Omar);213986;2011;130.003;latin;0.942;7;-6.365
Britney Spears;I Wanna Go;210266;2011;130.002;pop;0.546;5;-6.55
Leona Lewis;A Moment Like This;257293;2007;70.543;pop, R&B;0.562;8;-3.667
Alok;Hear Me Now;192846;2016;121.996;pop, Dance/Electronic;0.43;11;-7.757
Destiny's Child;Soldier (feat. T.I. & Lil' Wayne);325573;2004;77.49;pop, R&B;0.417;7;-6.799
Eminem;The Monster;250188;2013;110.049;hip hop;0.853;1;-3.68
